,serohikino_goshu.txt,kumono_ito.txt,souseki_AI.txt,ginga_tetsudono_yoru.txt,rashomon.txt,sorekara.txt,kokoro.txt
稍,0.0,0.0,0.0,0.0,0.0,9.0,0.0
ちっと,0.0,0.0,0.0,0.0,0.0,2.0,1.0
大いに,0.0,0.0,0.0,0.0,0.0,23.0,1.0
大変,0.0,0.0,0.0,0.0,0.0,23.0,24.0
頗る,0.0,0.0,0.0,0.0,0.0,10.0,1.0
然し,0.0,0.0,0.0,0.0,0.0,69.0,0.0
大して,0.0,0.0,0.0,0.0,0.0,1.0,3.0
一寸,0.0,0.0,0.0,0.0,0.0,44.0,0.0
能く,0.0,0.0,0.0,0.0,0.0,30.0,4.0
大抵,0.0,0.0,0.0,0.0,0.0,17.0,11.0
余っ程,0.0,0.0,0.0,0.0,0.0,10.0,0.0
ぽつねん,0.0,0.0,0.0,0.0,0.0,1.0,0.0
猶,0.0,0.0,0.0,0.0,0.0,33.0,1.0
あたかも,0.0,0.0,0.0,0.0,0.0,6.0,7.0
必竟,0.0,0.0,0.0,0.0,0.0,8.0,8.0
敢て,0.0,0.0,0.0,0.0,0.0,9.0,0.0
のらくら,0.0,0.0,0.0,0.0,0.0,8.0,0.0
暗に,0.0,0.0,0.0,0.0,0.0,4.0,5.0
中々,0.0,0.0,0.0,0.0,0.0,21.0,0.0
ただちに,0.0,0.0,0.0,0.0,0.0,1.0,0.0
取敢えず,0.0,0.0,0.0,0.0,0.0,1.0,0.0
色々,0.0,0.0,0.0,0.0,0.0,21.0,22.0
凝と,0.0,0.0,0.0,0.0,0.0,23.0,20.0
がらがら,0.0,0.0,0.0,0.0,0.0,1.0,1.0
どさり,0.0,0.0,0.0,0.0,0.0,2.0,0.0
些とも,0.0,0.0,0.0,0.0,0.0,13.0,3.0
余程,0.0,0.0,0.0,0.0,0.0,7.0,0.0
しんみり,0.0,0.0,0.0,0.0,0.0,1.0,0.0
大分,0.0,0.0,0.0,0.0,0.0,36.0,7.0
寧ろ,0.0,0.0,0.0,0.0,0.0,42.0,0.0
漸く,0.0,0.0,0.0,0.0,0.0,21.0,2.0
とにかく,0.0,0.0,0.0,0.0,0.0,2.0,15.0
極めて,0.0,0.0,0.0,0.0,0.0,10.0,11.0
忽然,0.0,0.0,0.0,0.0,0.0,2.0,2.0
当分,0.0,0.0,0.0,0.0,0.0,12.0,10.0
安々,0.0,0.0,0.0,0.0,0.0,1.0,0.0
只,0.0,0.0,0.0,0.0,0.0,10.0,0.0
現に,0.0,0.0,0.0,0.0,0.0,2.0,5.0
近々,0.0,0.0,0.0,0.0,0.0,2.0,0.0
但し,0.0,0.0,0.0,0.0,0.0,2.0,0.0
宜しく,0.0,0.0,0.0,0.0,0.0,6.0,2.0
単に,0.0,0.0,0.0,0.0,0.0,6.0,6.0
何れ,0.0,0.0,0.0,0.0,0.0,2.0,0.0
所謂,0.0,0.0,0.0,0.0,0.0,6.0,0.0
無論,0.0,0.0,0.0,0.0,0.0,27.0,32.0
ぷかぷか,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ちと,0.0,0.0,0.0,0.0,0.0,5.0,0.0
たま,0.0,0.0,0.0,0.0,0.0,1.0,0.0
甚だ,0.0,0.0,0.0,0.0,0.0,18.0,2.0
わざわざ,0.0,0.0,0.0,0.0,0.0,18.0,22.0
或は,0.0,0.0,0.0,0.0,0.0,11.0,0.0
じろり,0.0,0.0,0.0,0.0,0.0,1.0,0.0
依然,0.0,0.0,0.0,0.0,0.0,17.0,8.0
洗い浚い,0.0,0.0,0.0,0.0,0.0,2.0,0.0
あるいは,0.0,0.0,0.0,0.0,0.0,3.0,24.0
更に,0.0,0.0,0.0,0.0,0.0,2.0,1.0
未だ,0.0,0.0,0.0,0.0,0.0,12.0,0.0
至極,0.0,0.0,0.0,0.0,0.0,4.0,4.0
必ず,0.0,0.0,0.0,0.0,0.0,11.0,13.0
俄然,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ただし,0.0,0.0,0.0,0.0,0.0,2.0,2.0
きいきい,0.0,0.0,0.0,0.0,0.0,1.0,0.0
可なり,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ぱたり,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ついぞ,0.0,0.0,0.0,0.0,0.0,6.0,1.0
乃至,0.0,0.0,0.0,0.0,0.0,3.0,0.0
始め,0.0,0.0,0.0,0.0,0.0,7.0,4.0
或,0.0,0.0,0.0,0.0,0.0,5.0,0.0
毫も,0.0,0.0,0.0,0.0,0.0,5.0,1.0
滾々,0.0,0.0,0.0,0.0,0.0,1.0,0.0
とやかく,0.0,0.0,0.0,0.0,0.0,1.0,0.0
善く,0.0,0.0,0.0,0.0,0.0,1.0,0.0
麗々,0.0,0.0,0.0,0.0,0.0,1.0,0.0
固より,0.0,0.0,0.0,0.0,0.0,29.0,13.0
爾来,0.0,0.0,0.0,0.0,0.0,1.0,0.0
こと,0.0,0.0,0.0,0.0,0.0,4.0,3.0
に,0.0,0.0,0.0,0.0,0.0,4.0,3.0
さる,0.0,0.0,0.0,0.0,0.0,2.0,0.0
痛く,0.0,0.0,0.0,0.0,0.0,1.0,0.0
随分,0.0,0.0,0.0,0.0,0.0,10.0,0.0
へいへい,0.0,0.0,0.0,0.0,0.0,1.0,0.0
すらり,0.0,0.0,0.0,0.0,0.0,1.0,0.0
つん,0.0,0.0,0.0,0.0,0.0,1.0,0.0
べたべた,0.0,0.0,0.0,0.0,0.0,1.0,0.0
悉く,0.0,0.0,0.0,0.0,0.0,17.0,6.0
忽ち,0.0,0.0,0.0,0.0,0.0,10.0,5.0
一向,0.0,0.0,0.0,0.0,0.0,6.0,10.0
往々,0.0,0.0,0.0,0.0,0.0,1.0,0.0
かねて,0.0,0.0,0.0,0.0,0.0,5.0,5.0
順々,0.0,0.0,0.0,0.0,0.0,3.0,1.0
生憎,0.0,0.0,0.0,0.0,0.0,2.0,2.0
愚図々々,0.0,0.0,0.0,0.0,0.0,4.0,0.0
殊更,0.0,0.0,0.0,0.0,0.0,3.0,1.0
長らく,0.0,0.0,0.0,0.0,0.0,2.0,0.0
些っとも,0.0,0.0,0.0,0.0,0.0,1.0,0.0
むずむず,0.0,0.0,0.0,0.0,0.0,1.0,0.0
確か,0.0,0.0,0.0,0.0,0.0,1.0,3.0
どやどや,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ぴしゃり,0.0,0.0,0.0,0.0,0.0,2.0,0.0
せめて,0.0,0.0,0.0,0.0,0.0,3.0,1.0
ぽかん,0.0,0.0,0.0,0.0,0.0,6.0,1.0
ぽっ,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ぴく,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ちっとも,0.0,0.0,0.0,0.0,0.0,3.0,10.0
とかく,0.0,0.0,0.0,0.0,0.0,2.0,2.0
めっきり,0.0,0.0,0.0,0.0,0.0,1.0,0.0
冴々,0.0,0.0,0.0,0.0,0.0,1.0,0.0
緩り,0.0,0.0,0.0,0.0,0.0,6.0,0.0
生々,0.0,0.0,0.0,0.0,0.0,2.0,1.0
是非,0.0,0.0,0.0,0.0,0.0,13.0,0.0
不図,0.0,0.0,0.0,0.0,0.0,5.0,0.0
余り,0.0,0.0,0.0,0.0,0.0,10.0,4.0
さらり,0.0,0.0,0.0,0.0,0.0,1.0,1.0
りんりん,0.0,0.0,0.0,0.0,0.0,1.0,0.0
げらげら,0.0,0.0,0.0,0.0,0.0,1.0,0.0
真平,0.0,0.0,0.0,0.0,0.0,1.0,1.0
其の,0.0,0.0,0.0,0.0,0.0,1.0,0.0
思いの外,0.0,0.0,0.0,0.0,0.0,3.0,0.0
凡そ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
さくさく,0.0,0.0,0.0,0.0,0.0,1.0,0.0
唯,0.0,0.0,0.0,0.0,0.0,4.0,0.0
早晩,0.0,0.0,0.0,0.0,0.0,2.0,0.0
なまじい,0.0,0.0,0.0,0.0,0.0,5.0,1.0
飽くまで,0.0,0.0,0.0,0.0,0.0,2.0,0.0
単なる,0.0,0.0,0.0,0.0,0.0,1.0,5.0
早,0.0,0.0,0.0,0.0,0.0,1.0,0.0
いずれ,0.0,0.0,0.0,0.0,0.0,4.0,0.0
とくに,0.0,0.0,0.0,0.0,0.0,3.0,8.0
及,0.0,0.0,0.0,0.0,0.0,1.0,0.0
先ず,0.0,0.0,0.0,0.0,0.0,7.0,0.0
かたかた,0.0,0.0,0.0,0.0,0.0,1.0,0.0
一躍,0.0,0.0,0.0,0.0,0.0,1.0,0.0
にこり,0.0,0.0,0.0,0.0,0.0,1.0,0.0
しかと,0.0,0.0,0.0,0.0,0.0,1.0,0.0
から,0.0,0.0,0.0,0.0,0.0,3.0,0.0
碌な,0.0,0.0,0.0,0.0,0.0,1.0,2.0
強いて,0.0,0.0,0.0,0.0,0.0,3.0,3.0
大いなる,0.0,0.0,0.0,0.0,0.0,4.0,2.0
極,0.0,0.0,0.0,0.0,0.0,2.0,1.0
もしくは,0.0,0.0,0.0,0.0,0.0,7.0,3.0
益,0.0,0.0,0.0,0.0,0.0,9.0,0.0
結構,0.0,0.0,0.0,0.0,0.0,1.0,3.0
いたく,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ごしごし,0.0,0.0,0.0,0.0,0.0,1.0,0.0
怖々,0.0,0.0,0.0,0.0,0.0,1.0,0.0
些と,0.0,0.0,0.0,0.0,0.0,5.0,0.0
一旦,0.0,0.0,0.0,0.0,0.0,4.0,5.0
よしんば,0.0,0.0,0.0,0.0,0.0,1.0,0.0
充分,0.0,0.0,0.0,0.0,0.0,3.0,8.0
ちびちび,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ぐいぐい,0.0,0.0,0.0,0.0,0.0,2.0,0.0
如何なる,0.0,0.0,0.0,0.0,0.0,5.0,0.0
さて,0.0,0.0,0.0,0.0,0.0,1.0,1.0
今更,0.0,0.0,0.0,0.0,0.0,10.0,3.0
辛うじて,0.0,0.0,0.0,0.0,0.0,2.0,0.0
終に,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ぐるり,0.0,0.0,0.0,0.0,0.0,1.0,1.0
がらり,0.0,0.0,0.0,0.0,0.0,1.0,3.0
断然,0.0,0.0,0.0,0.0,0.0,5.0,0.0
転々,0.0,0.0,0.0,0.0,0.0,1.0,0.0
段々,0.0,0.0,0.0,0.0,0.0,2.0,8.0
さぞ,0.0,0.0,0.0,0.0,0.0,4.0,9.0
ぽたり,0.0,0.0,0.0,0.0,0.0,1.0,0.0
んな,0.0,0.0,0.0,0.0,0.0,1.0,0.0
曾て,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ちらりちらり,0.0,0.0,0.0,0.0,0.0,3.0,0.0
かかる,0.0,0.0,0.0,0.0,0.0,1.0,0.0
刻々,0.0,0.0,0.0,0.0,0.0,1.0,0.0
愈,0.0,0.0,0.0,0.0,0.0,11.0,0.0
まさか,0.0,0.0,0.0,0.0,0.0,2.0,2.0
遂に,0.0,0.0,0.0,0.0,0.0,12.0,0.0
晴々,0.0,0.0,0.0,0.0,0.0,2.0,0.0
果して,0.0,0.0,0.0,0.0,0.0,5.0,0.0
ぽつぽつ,0.0,0.0,0.0,0.0,0.0,2.0,1.0
ざあ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
のべつ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
同じく,0.0,0.0,0.0,0.0,0.0,1.0,1.0
如何な,0.0,0.0,0.0,0.0,0.0,1.0,0.0
正に,0.0,0.0,0.0,0.0,0.0,2.0,0.0
屡,0.0,0.0,0.0,0.0,0.0,4.0,0.0
ちらり,0.0,0.0,0.0,0.0,0.0,1.0,1.0
なんぼ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
一際,0.0,0.0,0.0,0.0,0.0,1.0,0.0
こっそり,0.0,0.0,0.0,0.0,0.0,2.0,1.0
さ,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ん,0.0,0.0,0.0,0.0,0.0,1.0,0.0
最早,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ついに,0.0,0.0,0.0,0.0,0.0,2.0,26.0
漸々,0.0,0.0,0.0,0.0,0.0,2.0,1.0
しっくり,0.0,0.0,0.0,0.0,0.0,1.0,0.0
重な,0.0,0.0,0.0,0.0,0.0,1.0,1.0
切に,0.0,0.0,0.0,0.0,0.0,4.0,0.0
確り,0.0,0.0,0.0,0.0,0.0,3.0,0.0
よろしく,0.0,0.0,0.0,0.0,0.0,1.0,0.0
当に,0.0,0.0,0.0,0.0,0.0,2.0,0.0
案のじょう,0.0,0.0,0.0,0.0,0.0,1.0,0.0
悉,0.0,0.0,0.0,0.0,0.0,1.0,0.0
のっそり,0.0,0.0,0.0,0.0,0.0,1.0,1.0
うろうろ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
略,0.0,0.0,0.0,0.0,0.0,1.0,0.0
向後,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ふわふわ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
じいんと,0.0,0.0,0.0,0.0,0.0,1.0,0.0
専ら,0.0,0.0,0.0,0.0,0.0,1.0,0.0
どんより,0.0,0.0,0.0,0.0,0.0,1.0,1.0
そこそこ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
素知らぬ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
順次,0.0,0.0,0.0,0.0,0.0,1.0,0.0
しばしば,0.0,0.0,0.0,0.0,0.0,1.0,3.0
暫く,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ぐい,0.0,0.0,0.0,0.0,0.0,2.0,3.0
優に,0.0,0.0,0.0,0.0,0.0,1.0,0.0
あながち,0.0,0.0,0.0,0.0,0.0,1.0,0.0
大層,0.0,0.0,0.0,0.0,0.0,2.0,1.0
ざらざら,0.0,0.0,0.0,0.0,0.0,1.0,0.0
しっとり,0.0,0.0,0.0,0.0,0.0,1.0,0.0
頻り,0.0,0.0,0.0,0.0,0.0,1.0,1.0
たんと,0.0,0.0,0.0,0.0,0.0,2.0,0.0
若し,0.0,0.0,0.0,0.0,0.0,3.0,0.0
余計,0.0,0.0,0.0,0.0,0.0,2.0,0.0
斯かる,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ぎらぎら,0.0,0.0,0.0,0.0,0.0,3.0,1.0
すぱすぱ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
はたと,0.0,0.0,0.0,0.0,0.0,1.0,0.0
兼て,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ぽう,0.0,0.0,0.0,0.0,0.0,2.0,0.0
甚く,0.0,0.0,0.0,0.0,0.0,2.0,0.0
但,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ぼつぼつ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
確と,0.0,0.0,0.0,0.0,0.0,1.0,0.0
永らく,0.0,0.0,0.0,0.0,0.0,1.0,1.0
隈なく,0.0,0.0,0.0,0.0,0.0,1.0,0.0
そわそわ,0.0,0.0,0.0,0.0,0.0,1.0,3.0
暫らく,0.0,0.0,0.0,0.0,0.0,2.0,0.0
いたって,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ざあざあ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
定め,0.0,0.0,0.0,0.0,0.0,2.0,5.0
一見,0.0,0.0,0.0,0.0,0.0,1.0,0.0
度々,0.0,0.0,0.0,0.0,0.0,1.0,2.0
思う様,0.0,0.0,0.0,0.0,0.0,1.0,0.0
たっぷり,0.0,0.0,0.0,0.0,0.0,1.0,0.0
繁く,0.0,0.0,0.0,0.0,0.0,1.0,2.0
とんと,0.0,0.0,0.0,0.0,0.0,1.0,0.0
はたはた,0.0,0.0,0.0,0.0,0.0,1.0,0.0
くるりくるり,0.0,0.0,0.0,0.0,0.0,2.0,0.0
満更,0.0,0.0,0.0,0.0,0.0,1.0,2.0
かさかさ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
じりじり,0.0,0.0,0.0,0.0,0.0,1.0,1.0
せっかく,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ごちゃごちゃ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
すぽり,0.0,0.0,0.0,0.0,0.0,0.0,1.0
すなわち,0.0,0.0,0.0,0.0,0.0,0.0,5.0
わいわい,0.0,0.0,0.0,0.0,0.0,0.0,1.0
広々,0.0,0.0,0.0,0.0,0.0,0.0,1.0
すたすた,0.0,0.0,0.0,0.0,0.0,0.0,1.0
或る,0.0,0.0,0.0,0.0,0.0,0.0,10.0
ふい,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ようやく,0.0,0.0,0.0,0.0,0.0,0.0,9.0
かれこれ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
さほど,0.0,0.0,0.0,0.0,0.0,0.0,4.0
初めて,0.0,0.0,0.0,0.0,0.0,0.0,2.0
しばし,0.0,0.0,0.0,0.0,0.0,0.0,1.0
時たま,0.0,0.0,0.0,0.0,0.0,0.0,2.0
すこぶる,0.0,0.0,0.0,0.0,0.0,0.0,3.0
かえって,0.0,0.0,0.0,0.0,0.0,0.0,35.0
おそらく,0.0,0.0,0.0,0.0,0.0,0.0,12.0
ときたま,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ほぼ,0.0,0.0,0.0,0.0,0.0,0.0,5.0
案外,0.0,0.0,0.0,0.0,0.0,0.0,3.0
最も,0.0,0.0,0.0,0.0,0.0,0.0,8.0
はたして,0.0,0.0,0.0,0.0,0.0,0.0,14.0
あらかじめ,0.0,0.0,0.0,0.0,0.0,0.0,3.0
すでに,0.0,0.0,0.0,0.0,0.0,0.0,13.0
ありあり,0.0,0.0,0.0,0.0,0.0,0.0,2.0
たしか,0.0,0.0,0.0,0.0,0.0,0.0,7.0
なおさら,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ぽたぽた,0.0,0.0,0.0,0.0,0.0,0.0,1.0
そうこう,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ひとしきり,0.0,0.0,0.0,0.0,0.0,0.0,1.0
いわゆる,0.0,0.0,0.0,0.0,0.0,0.0,2.0
および,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ことり,0.0,0.0,0.0,0.0,0.0,0.0,1.0
もともと,0.0,0.0,0.0,0.0,0.0,0.0,2.0
おいそれと,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ちやほや,0.0,0.0,0.0,0.0,0.0,0.0,1.0
元々,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ころり,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ちらほら,0.0,0.0,0.0,0.0,0.0,0.0,2.0
道々,0.0,0.0,0.0,0.0,0.0,0.0,1.0
聊か,0.0,0.0,0.0,0.0,0.0,0.0,1.0
だらだら,0.0,0.0,0.0,0.0,0.0,0.0,2.0
よくよく,0.0,0.0,0.0,0.0,0.0,0.0,1.0
よっぽど,0.0,0.0,0.0,0.0,0.0,0.0,4.0
偶然,0.0,0.0,0.0,0.0,0.0,0.0,7.0
いきおい,0.0,0.0,0.0,0.0,0.0,0.0,1.0
いかな,0.0,0.0,0.0,0.0,0.0,0.0,2.0
間々,0.0,0.0,0.0,0.0,0.0,0.0,1.0
いや,0.0,0.0,0.0,0.0,0.0,0.0,1.0
こんもり,0.0,0.0,0.0,0.0,0.0,0.0,1.0
無理やり,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ひらひら,0.0,0.0,0.0,0.0,0.0,0.0,3.0
異な,0.0,0.0,0.0,0.0,0.0,0.0,1.0
しゃんしゃん,0.0,0.0,0.0,0.0,0.0,0.0,1.0
仰山,0.0,0.0,0.0,0.0,0.0,0.0,3.0
直接,0.0,0.0,0.0,0.0,0.0,0.0,2.0
いっそう,0.0,0.0,0.0,0.0,0.0,0.0,1.0
いっそ,0.0,0.0,0.0,0.0,0.0,0.0,2.0
だらり,0.0,0.0,0.0,0.0,0.0,0.0,1.0
もとより,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ひょっと,0.0,0.0,0.0,0.0,0.0,0.0,2.0
あくまで,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ぼりぼり,0.0,0.0,0.0,0.0,0.0,0.0,1.0
代る代る,0.0,0.0,0.0,0.0,0.0,0.0,2.0
偶に,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ひやり,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ひょいひょい,0.0,0.0,0.0,0.0,0.0,0.0,2.0
愚図愚図,0.0,0.0,0.0,0.0,0.0,0.0,1.0
まごまご,0.0,0.0,0.0,0.0,0.0,0.0,1.0
あえて,0.0,0.0,0.0,0.0,0.0,0.0,3.0
一,0.0,0.0,0.0,0.0,0.0,0.0,2.0
歩,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ちょいちょい,0.0,0.0,0.0,0.0,0.0,0.0,1.0
すやすや,0.0,0.0,0.0,0.0,0.0,0.0,1.0
はなはだ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
おもな,0.0,0.0,0.0,0.0,0.0,0.0,1.0
漸と,0.0,0.0,0.0,0.0,0.0,0.0,2.0
正直,0.0,0.0,0.0,0.0,0.0,0.0,1.0
我が,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ちょ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ちょいと,0.0,0.0,0.0,0.0,0.0,0.0,2.0
そぞろ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
直ぐ,0.0,0.0,0.0,0.0,0.0,0.0,3.0
がたぴし,0.0,0.0,0.0,0.0,0.0,0.0,1.0
小ぢんまり,0.0,0.0,0.0,0.0,0.0,0.0,1.0
即,0.0,0.0,0.0,0.0,0.0,0.0,3.0
へどもど,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ぽつんぽつん,0.0,0.0,0.0,0.0,0.0,0.0,1.0
たとい,0.0,0.0,0.0,0.0,0.0,0.0,8.0
きょときょと,0.0,0.0,0.0,0.0,0.0,0.0,2.0
自然,0.0,0.0,0.0,0.0,0.0,0.0,2.0
きょろ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
碌に,0.0,0.0,0.0,0.0,0.0,0.0,1.0
もお,0.0,0.0,0.0,0.0,0.0,0.0,1.0
じろじろ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
薩張り,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ひょい,0.0,0.0,0.0,0.0,0.0,0.0,2.0
よし,0.0,0.0,0.0,0.0,0.0,0.0,1.0
二つながら,0.0,0.0,0.0,0.0,0.0,0.0,1.0
完う,0.0,0.0,0.0,0.0,0.0,0.0,1.0
こん,0.0,0.0,0.0,0.0,0.0,0.0,1.0
まんざら,0.0,0.0,0.0,0.0,0.0,0.0,1.0
むっちり,0.0,0.0,0.0,0.0,0.0,0.0,1.0
おもに,0.0,0.0,0.0,0.0,0.0,0.0,1.0
定めし,0.0,0.0,0.0,0.0,0.0,0.0,1.0
こせこせ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ひとまず,0.0,0.0,0.0,0.0,0.0,0.0,1.0
僅か,0.0,0.0,0.0,0.0,0.0,0.0,1.0
つかつか,0.0,0.0,0.0,0.0,0.0,0.0,1.0
もぐもぐ,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ぽつりぽつり,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ぐらぐら,0.0,0.0,0.0,0.0,0.0,0.0,2.0
どろどろ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
勢い,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ぎょっと,0.0,0.0,0.0,0.0,0.0,0.0,2.0
こそこそ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ひやひや,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ぱ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
屹と,0.0,0.0,0.0,0.0,0.0,0.0,1.0
あっさり,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ちくちく,0.0,0.0,0.0,0.0,0.0,0.0,1.0
しけじけ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
年来,0.0,0.0,0.0,0.0,0.0,0.0,1.0
主な,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ぽろぽろ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
